"date_mdy","journal_entry","location","year","month","longitude","latitude","item"
1878-10-04,"The wind North West Thermometer 61 degrees Administered the oath to G.W. Tracy quarterly returns of Post office. Commenced driving mail for the first time on the new route by the way of Hammonds Corner","Winter Harbor",1878,10,-68.09811741,44.39116851,"mail"
1878-10-05,"The wind North West and the Thermometer 55° Work about home waiting upon the traveling public maile jack to lift waggon Went to West Gouldsboro in afternoon.","Winter Harbor",1878,10,-68.09811741,44.39116851,"mail"
1878-10-05,"The wind North West and the Thermometer 55° Work about home waiting upon the traveling public maile jack to lift waggon Went to West Gouldsboro in afternoon.","West Gouldsboro",1878,10,-68.09937127,44.46922347,"mail"
1878-10-07,"The wind North West in forenoon and S. West in afternoon Thermometer 63 Went to West Gouldsboro with the mail","Winter Harbor",1878,10,-68.09811741,44.39116851,"mail"
1878-10-07,"The wind North West in forenoon and S. West in afternoon Thermometer 63 Went to West Gouldsboro with the mail","West Gouldsboro",1878,10,-68.09937127,44.46922347,"mail"
1878-10-11,"The wind from North East to South South East. and the Thermometer 40° Went to West Gouldsboro with the mail.","Winter Harbor",1878,10,-68.09811741,44.39116851,"mail"
1878-10-11,"The wind from North East to South South East. and the Thermometer 40° Went to West Gouldsboro with the mail.","West Gouldsboro",1878,10,-68.09937127,44.46922347,"mail"
1878-10-12,"The wind Easterly & overcast. Thermometer 45 drove the Mail to West Gouldsboro by the way of Prospect for David Weare.","Winter Harbor",1878,10,-68.09811741,44.39116851,"mail"
1878-10-12,"The wind Easterly & overcast. Thermometer 45 drove the Mail to West Gouldsboro by the way of Prospect for David Weare.","West Gouldsboro",1878,10,-68.09937127,44.46922347,"mail"
1878-10-14,"The wind South West Thermometer 45 degrees Went to West Gouldsboro with the mail. worked one fourth day for G.W. Tracy moving partiitions.","Winter Harbor",1878,10,-68.09811741,44.39116851,"mail"
1878-10-14,"The wind South West Thermometer 45 degrees Went to West Gouldsboro with the mail. worked one fourth day for G.W. Tracy moving partiitions.","West Gouldsboro",1878,10,-68.09937127,44.46922347,"mail"
1878-10-14,"The wind South West Thermometer 45 degrees Went to West Gouldsboro with the mail. worked one fourth day for G.W. Tracy moving partiitions.","Winter Harbor",1878,10,-68.09811741,44.39116851,"mail"
1878-10-18,"The wind Southerly Thermometer 52 degrees weather foggy at dark heavy rain. Went to West Gouldsboro with mail.","Winter Harbor",1878,10,-68.09811741,44.39116851,"mail"
1878-10-18,"The wind Southerly Thermometer 52 degrees weather foggy at dark heavy rain. Went to West Gouldsboro with mail.","West Gouldsboro",1878,10,-68.09937127,44.46922347,"mail"
1878-10-21,"The wind Westerly Thermometer 47 degrees went to West Gouldsboro with mail.  Summonds to appear to Court in Portland to be held the 8th day of November","Winter Harbor",1878,10,-68.09811741,44.39116851,"mail"
1878-10-21,"The wind Westerly Thermometer 47 degrees went to West Gouldsboro with mail.  Summonds to appear to Court in Portland to be held the 8th day of November","West Gouldsboro",1878,10,-68.09937127,44.46922347,"mail"
1878-10-25,"The wind North East and overcast Thermometer 47. Went to West Gouldsboro with the mail wrote letter to A.J. Blethen Esqr Portland Attorney at law. Recd letter from Mr AJ Blethen of Portland.","Winter Harbor",1878,10,-68.09811741,44.39116851,"mail"
1878-10-25,"The wind North East and overcast Thermometer 47. Went to West Gouldsboro with the mail wrote letter to A.J. Blethen Esqr Portland Attorney at law. Recd letter from Mr AJ Blethen of Portland.","West Gouldsboro",1878,10,-68.09937127,44.46922347,"mail"
1878-10-28,"The wind Came of N.W. at 10 am. with a rain squall Went to West Gouldsboro with the mail.","Winter Harbor",1878,10,-68.09811741,44.39116851,"mail"
1878-10-28,"The wind Came of N.W. at 10 am. with a rain squall Went to West Gouldsboro with the mail.","West Gouldsboro",1878,10,-68.09937127,44.46922347,"mail"
1878-11-01,"The wind North West work one fourth day for Wm Guptill Went to West Gouldsboro with mail Thermometer 43 degrees Recd letters from Wm B Viall and A J Blethen wrote letter to AJ Blethen of Portland","Winter Harbor",1878,11,-68.09811741,44.39116851,"mail"
1878-11-01,"The wind North West work one fourth day for Wm Guptill Went to West Gouldsboro with mail Thermometer 43 degrees Recd letters from Wm B Viall and A J Blethen wrote letter to AJ Blethen of Portland","West Gouldsboro",1878,11,-68.09937127,44.46922347,"mail"
1878-11-04,"The wind Southerly in forenoon Thermometer 22° Went to West Gouldsboro with mail And in the afternoon the wind Came of North West with snow squalls. At night the Thermometer 28 degrees Work one 1/4 day for Wm Guptill","Winter Harbor",1878,11,-68.09811741,44.39116851,"mail"
1878-11-04,"The wind Southerly in forenoon Thermometer 22° Went to West Gouldsboro with mail And in the afternoon the wind Came of North West with snow squalls. At night the Thermometer 28 degrees Work one 1/4 day for Wm Guptill","West Gouldsboro",1878,11,-68.09937127,44.46922347,"mail"
1878-11-08,"The wind Northerly and Snowy all day Thermometer 32 degrees Went to West Gouldsboro with mail work 1//4 for Wm Guptill. Recd letter from Ida Hodgkins Lamoine Rhoda A Rand died at 5 pm","West Gouldsboro",1878,11,-68.09937127,44.46922347,"mail"
1878-11-08,"The wind Northerly and Snowy all day Thermometer 32 degrees Went to West Gouldsboro with mail work 1//4 for Wm Guptill. Recd letter from Ida Hodgkins Lamoine Rhoda A Rand died at 5 pm","Winter Harbor",1878,11,-68.09811741,44.39116851,"mail"
1878-11-11,"The wind moderate Southerly Thermometer 40° Went to see the Estate of Joseph Moore three miles from Ellsworth down Water Street Paid the Int on $800 for 6 months at the bank and came home John Hancock drove mail","Ellsworth",1878,11,-68.42420475,44.54105229,"mail"
1878-11-11,"The wind moderate Southerly Thermometer 40° Went to see the Estate of Joseph Moore three miles from Ellsworth down Water Street Paid the Int on $800 for 6 months at the bank and came home John Hancock drove mail","Winter Harbor",1878,11,-68.09811741,44.39116851,"mail"
1878-11-15,"The wind North West Thermometer 35 degrees Paid T R Hammonds note and $53 in cash to Port Master Winter Harbor for a reciept & Writ from SC Munsey & Co by AJ Blethen City H being for the Sea Flowers Sail property attached and cleared by the above Went to West Gouldsboro with the mail","Winter Harbor",1878,11,-68.09811741,44.39116851,"mail"
1878-11-15,"The wind North West Thermometer 35 degrees Paid T R Hammonds note and $53 in cash to Port Master Winter Harbor for a reciept & Writ from SC Munsey & Co by AJ Blethen City H being for the Sea Flowers Sail property attached and cleared by the above Went to West Gouldsboro with the mail","West Gouldsboro",1878,11,-68.09937127,44.46922347,"mail"
1878-11-15,"The wind North West Thermometer 35 degrees Paid T R Hammonds note and $53 in cash to Port Master Winter Harbor for a reciept & Writ from SC Munsey & Co by AJ Blethen City H being for the Sea Flowers Sail property attached and cleared by the above Went to West Gouldsboro with the mail","Winter Harbor",1878,11,-68.09811741,44.39116851,"mail"
1878-11-18,"The wind Easterly and the Thermometer 35 degrees went to West Gouldsboro with mail. In the afternoon rainy","West Gouldsboro",1878,11,-68.09937127,44.46922347,"mail"
1878-11-18,"The wind Easterly and the Thermometer 35 degrees went to West Gouldsboro with mail. In the afternoon rainy","Winter Harbor",1878,11,-68.09811741,44.39116851,"mail"
1878-11-22,"The wind Easterly and the Thermometer 35 degrees wrote letters to SM Inmans and Bessie Grant Went to West Gouldsboro with mail. very heavy blow and rain in the afternoon and evening","West Gouldsboro",1878,11,-68.09937127,44.46922347,"mail"
1878-11-22,"The wind Easterly and the Thermometer 35 degrees wrote letters to SM Inmans and Bessie Grant Went to West Gouldsboro with mail. very heavy blow and rain in the afternoon and evening","Winter Harbor",1878,11,-68.09811741,44.39116851,"mail"
1878-11-25,"The wind Westerly Thermometer 40 degrees Went to West Gouldsboro with mail.","West Gouldsboro",1878,11,-68.09937127,44.46922347,"mail"
1878-11-25,"The wind Westerly Thermometer 40 degrees Went to West Gouldsboro with mail.","Winter Harbor",1878,11,-68.09811741,44.39116851,"mail"
1878-11-29,"The wind North West in forenoon South West in the evening Thermometer 37 Went to West Gouldsboro with mail Had plain porriage party in the evening","West Gouldsboro",1878,11,-68.09937127,44.46922347,"mail"
1878-11-29,"The wind North West in forenoon South West in the evening Thermometer 37 Went to West Gouldsboro with mail Had plain porriage party in the evening","Winter Harbor",1878,11,-68.09811741,44.39116851,"mail"
1878-12-02,"The wind S.S.E and fresh breeze Thermometer 35° wrote letters to Bessie E Grant Mrs Proctor Smallidge and Mary Stanley went to West Gouldsboro with mail very heavy storm at night.","West Gouldsboro",1878,12,-68.09937127,44.46922347,"mail"
1878-12-02,"The wind S.S.E and fresh breeze Thermometer 35° wrote letters to Bessie E Grant Mrs Proctor Smallidge and Mary Stanley went to West Gouldsboro with mail very heavy storm at night.","Winter Harbor",1878,12,-68.09811741,44.39116851,"mail"
1878-12-06,"The wind Westerly Thermometer 24° Went to West Gouldsboro with mail.","West Gouldsboro",1878,12,-68.09937127,44.46922347,"mail"
1878-12-06,"The wind Westerly Thermometer 24° Went to West Gouldsboro with mail.","Winter Harbor",1878,12,-68.09811741,44.39116851,"mail"
1878-12-09,"Calm all day with the exception of a light air westerly Thermometer 30 Went to West Gouldsboro with mail. Wrote letter and reg it to Messrs M Gallant & Co. at night went in the woods and hauled out one load of wood on wheels","West Gouldsboro",1878,12,-68.09937127,44.46922347,"mail"
1878-12-09,"Calm all day with the exception of a light air westerly Thermometer 30 Went to West Gouldsboro with mail. Wrote letter and reg it to Messrs M Gallant & Co. at night went in the woods and hauled out one load of wood on wheels","Winter Harbor",1878,12,-68.09811741,44.39116851,"mail"
1878-12-13,"The wind West North West fresh breeze Thermometer 22° Went to West Gouldsboro with mail Recd letter from M Gallant & Co. Dr SM Inman & Mrs. Bessie E Grant.","West Gouldsboro",1878,12,-68.09937127,44.46922347,"mail"
1878-12-13,"The wind West North West fresh breeze Thermometer 22° Went to West Gouldsboro with mail Recd letter from M Gallant & Co. Dr SM Inman & Mrs. Bessie E Grant.","Winter Harbor",1878,12,-68.09811741,44.39116851,"mail"
1878-12-16,"The wind North West Thermometer 20 degrees Wrote letter to Mrs. B.E. Grant hired John Hancock to drive the mail I staid at home and salted my pig and a quarter of beef. wrote letter to American Office","Winter Harbor",1878,12,-68.09811741,44.39116851,"mail"
1878-12-20,"The wind North West Thermometer 16° above zero. Went to West Gouldsboro with mail.","West Gouldsboro",1878,12,-68.09937127,44.46922347,"mail"
1878-12-20,"The wind North West Thermometer 16° above zero. Went to West Gouldsboro with mail.","Winter Harbor",1878,12,-68.09811741,44.39116851,"mail"
1878-12-23,"The wind North West Thermometer 29 degrees Administered Oath to T.H. Smallidge & others in refrence & salt. Went to West Gouldsboro with mail.","West Gouldsboro",1878,12,-68.09937127,44.46922347,"mail"
1878-12-23,"The wind North West Thermometer 29 degrees Administered Oath to T.H. Smallidge & others in refrence & salt. Went to West Gouldsboro with mail.","Winter Harbor",1878,12,-68.09811741,44.39116851,"mail"
1878-12-27,"The wind moderate and varying from North to East. Thermometer 10 degrees above zero. Went to West Gouldsboro with mail. recd letter from CC Burrill Wrote letter to Mrs Bessie E Grant of Camden","West Gouldsboro",1878,12,-68.09937127,44.46922347,"mail"
1878-12-27,"The wind moderate and varying from North to East. Thermometer 10 degrees above zero. Went to West Gouldsboro with mail. recd letter from CC Burrill Wrote letter to Mrs Bessie E Grant of Camden","Winter Harbor",1878,12,-68.09811741,44.39116851,"mail"
1878-12-30,"The wind North East. Thermometer 8 degrees above zero in the morning at 10 oclock am moderate and commenced snowing Went to West Gouldsboro with the mail. Snowing fast all the afternoon. Wrote notices for wharf meeting.","West Gouldsboro",1878,12,-68.09937127,44.46922347,"mail"
1878-12-30,"The wind North East. Thermometer 8 degrees above zero in the morning at 10 oclock am moderate and commenced snowing Went to West Gouldsboro with the mail. Snowing fast all the afternoon. Wrote notices for wharf meeting.","Winter Harbor",1878,12,-68.09811741,44.39116851,"mail"
1879-01-03,"Thermometer 14° above 0 The wind Northerly and a gale of wind tremendious snow strom. At 9 1/2 oclock started with the mail for West Gouldsboro accompanied by Geo Pendleton got Mrs to Wm Bunkers could get no further with the horse got Geo Pendleton to take it fast and I came home. deep snow","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-06,"The wind North West Thermometer 25° above zero. Wrote letter to Wm B Viall at Bethel Vt. Went to West Gouldsboro with mail with sleigh.","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-06,"The wind North West Thermometer 25° above zero. Wrote letter to Wm B Viall at Bethel Vt. Went to West Gouldsboro with mail with sleigh.","West Gouldsboro",1879,1,-68.09937127,44.46922347,"mail"
1879-01-06,"The wind North West Thermometer 25° above zero. Wrote letter to Wm B Viall at Bethel Vt. Went to West Gouldsboro with mail with sleigh.","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-10,"A very big snow storm The wind North West Thermometer 12 degrees above Wrote letter to C. C. Burrill Started with the mail to West Gouldsboro Got as far as Wm Bunkers with the horse and could get no further with him put him in the barna nd Carried the mail on my back to West Gouldsboro","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-10,"A very big snow storm The wind North West Thermometer 12 degrees above Wrote letter to C. C. Burrill Started with the mail to West Gouldsboro Got as far as Wm Bunkers with the horse and could get no further with him put him in the barna nd Carried the mail on my back to West Gouldsboro","West Gouldsboro",1879,1,-68.09937127,44.46922347,"mail"
1879-01-10,"A very big snow storm The wind North West Thermometer 12 degrees above Wrote letter to C. C. Burrill Started with the mail to West Gouldsboro Got as far as Wm Bunkers with the horse and could get no further with him put him in the barna nd Carried the mail on my back to West Gouldsboro","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-13,"Calm in the morning wrote letter to Stephen Southard Went to West Gouldsboro with Mail afternoon wind westerly Thermometer 22 above received letter from Wm B Viall Mail Contractor Bethel Vt.","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-13,"Calm in the morning wrote letter to Stephen Southard Went to West Gouldsboro with Mail afternoon wind westerly Thermometer 22 above received letter from Wm B Viall Mail Contractor Bethel Vt.","West Gouldsboro",1879,1,-68.09937127,44.46922347,"mail"
1879-01-13,"Calm in the morning wrote letter to Stephen Southard Went to West Gouldsboro with Mail afternoon wind westerly Thermometer 22 above received letter from Wm B Viall Mail Contractor Bethel Vt.","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-17,"Calm about all day The Thermometer at zero in the morning Went to West Gouldsboro with mail. Good. Sleighing The Thermometer went up to 22 in the afternoon.","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-17,"Calm about all day The Thermometer at zero in the morning Went to West Gouldsboro with mail. Good. Sleighing The Thermometer went up to 22 in the afternoon.","West Gouldsboro",1879,1,-68.09937127,44.46922347,"mail"
1879-01-17,"Calm about all day The Thermometer at zero in the morning Went to West Gouldsboro with mail. Good. Sleighing The Thermometer went up to 22 in the afternoon.","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-20,"The wind Northerly Thermometer 8° above zero Went to West Gouldsboro with Mail. Came back & carried Nathan Bickford to Milbridge to the Masonic Lodge and saw him made an Entered Apprentice Came back Steuben.","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-20,"The wind Northerly Thermometer 8° above zero Went to West Gouldsboro with Mail. Came back & carried Nathan Bickford to Milbridge to the Masonic Lodge and saw him made an Entered Apprentice Came back Steuben.","West Gouldsboro",1879,1,-68.09937127,44.46922347,"mail"
1879-01-20,"The wind Northerly Thermometer 8° above zero Went to West Gouldsboro with Mail. Came back & carried Nathan Bickford to Milbridge to the Masonic Lodge and saw him made an Entered Apprentice Came back Steuben.","Steuben",1879,1,-67.961732,44.505209,"mail"
1879-01-23,"The wind from South Easterly to North Snowy all day Thermometer 32° about. received two letters from Wm B Viall and in one was a check of $24.75 in full. for Carrying the mail to West Gouldsboro from Oct 1st to Jan 1st.","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-24,"The wind from West to South West Thermometer 32 Went to West Gouldsboro with mail Acknowledged deed for Nathan Shaw Settled accounts with Oliver Jones. Jennie Tracy and Nathan Hammond.","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-24,"The wind from West to South West Thermometer 32 Went to West Gouldsboro with mail Acknowledged deed for Nathan Shaw Settled accounts with Oliver Jones. Jennie Tracy and Nathan Hammond.","West Gouldsboro",1879,1,-68.09937127,44.46922347,"mail"
1879-01-24,"The wind from West to South West Thermometer 32 Went to West Gouldsboro with mail Acknowledged deed for Nathan Shaw Settled accounts with Oliver Jones. Jennie Tracy and Nathan Hammond.","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-31,"The wind Westerly Thermometer 22° above zero. Went to West Goudlsboro with the mail Ld buing the last day from Winter Harbor to W. G. the route discoutinued from Winter Harbor to Hammonds Corner","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-01-31,"The wind Westerly Thermometer 22° above zero. Went to West Goudlsboro with the mail Ld buing the last day from Winter Harbor to W. G. the route discoutinued from Winter Harbor to Hammonds Corner","West Gouldsboro",1879,1,-68.09937127,44.46922347,"mail"
1879-01-31,"The wind Westerly Thermometer 22° above zero. Went to West Goudlsboro with the mail Ld buing the last day from Winter Harbor to W. G. the route discoutinued from Winter Harbor to Hammonds Corner","Winter Harbor",1879,1,-68.09811741,44.39116851,"mail"
1879-02-03,"The wind WNW Thermometer 28 Went to West Gouldsboro with mail from South Goulsdboro","Winter Harbor",1879,2,-68.09811741,44.39116851,"mail"
1879-02-03,"The wind WNW Thermometer 28 Went to West Gouldsboro with mail from South Goulsdboro","West Gouldsboro",1879,2,-68.09937127,44.46922347,"mail"
1879-02-03,"The wind WNW Thermometer 28 Went to West Gouldsboro with mail from South Goulsdboro","Winter Harbor",1879,2,-68.09811741,44.39116851,"mail"
1879-02-07,"The wind Westerly The Thermometer 22° above Took the mail to W. Goulsboro & hired it brought back to SG Carried N.A.Bickford to Milbridge Where he took the Second & third degrees in Masonry Then we Came home in the night.","Winter Harbor",1879,2,-68.09811741,44.39116851,"mail"
1879-02-07,"The wind Westerly The Thermometer 22° above Took the mail to W. Goulsboro & hired it brought back to SG Carried N.A.Bickford to Milbridge Where he took the Second & third degrees in Masonry Then we Came home in the night.","West Gouldsboro",1879,2,-68.09937127,44.46922347,"mail"
1879-02-07,"The wind Westerly The Thermometer 22° above Took the mail to W. Goulsboro & hired it brought back to SG Carried N.A.Bickford to Milbridge Where he took the Second & third degrees in Masonry Then we Came home in the night.","South Gouldsboro",1879,2,-68.109596,44.42952,"mail"
1879-02-07,"The wind Westerly The Thermometer 22° above Took the mail to W. Goulsboro & hired it brought back to SG Carried N.A.Bickford to Milbridge Where he took the Second & third degrees in Masonry Then we Came home in the night.","Winter Harbor",1879,2,-68.09811741,44.39116851,"mail"
1879-02-10,"The wind West North West Thermometer. from 12 to 18 degrees above zero. Went to West Gouldsboro with mail.","Winter Harbor",1879,2,-68.09811741,44.39116851,"mail"
1879-02-10,"The wind West North West Thermometer. from 12 to 18 degrees above zero. Went to West Gouldsboro with mail.","West Gouldsboro",1879,2,-68.09937127,44.46922347,"mail"
1879-02-10,"The wind West North West Thermometer. from 12 to 18 degrees above zero. Went to West Gouldsboro with mail.","Winter Harbor",1879,2,-68.09811741,44.39116851,"mail"
1879-02-13,"Let the mail Route to Leonard Bunker The wind Westerly. Thermometer 18 degrees above work in forenoon cutting wood. And in the afternoon started for East Sullivan Exhibition brok one of the shafts and came back home.","Winter Harbor",1879,2,-68.09811741,44.39116851,"mail"
1879-02-21,"The wind N.N. East snow and snow blowing all day. roads blocked the mail did not go Thermometer 13 above 0 Visited the School taught by Mr Phillips It being next to the last day of school.","Winter Harbor",1879,2,-68.09811741,44.39116851,"mail"
1879-03-01,"The wind North East in the morning and looked like snow. with the Thermometer 8 above 0 Went to West Gouldsboro with Mail via Prospect for Mr Weare. received draft of 124.75 from the P.D.Department","Winter Harbor",1879,3,-68.09811741,44.39116851,"mail"
1879-03-01,"The wind North East in the morning and looked like snow. with the Thermometer 8 above 0 Went to West Gouldsboro with Mail via Prospect for Mr Weare. received draft of 124.75 from the P.D.Department","Prospect Harbor",1879,3,-68.02456023,44.41062098,"mail"
1879-03-01,"The wind North East in the morning and looked like snow. with the Thermometer 8 above 0 Went to West Gouldsboro with Mail via Prospect for Mr Weare. received draft of 124.75 from the P.D.Department","West Gouldsboro",1879,3,-68.09937127,44.46922347,"mail"
1879-03-01,"The wind North East in the morning and looked like snow. with the Thermometer 8 above 0 Went to West Gouldsboro with Mail via Prospect for Mr Weare. received draft of 124.75 from the P.D.Department","Winter Harbor",1879,3,-68.09811741,44.39116851,"mail"
1879-03-11,"The wind Southerly Thermometer 34 above work in the forenoon for Wm Guptill. and in the afternoon went. to West Gouldsboro to see the Post Master abt Mail carrier on Route 365.","Winter Harbor",1879,3,-68.09811741,44.39116851,"mail"
1879-03-11,"The wind Southerly Thermometer 34 above work in the forenoon for Wm Guptill. and in the afternoon went. to West Gouldsboro to see the Post Master abt Mail carrier on Route 365.","West Gouldsboro",1879,3,-68.09937127,44.46922347,"mail"
1879-03-11,"The wind Southerly Thermometer 34 above work in the forenoon for Wm Guptill. and in the afternoon went. to West Gouldsboro to see the Post Master abt Mail carrier on Route 365.","Winter Harbor",1879,3,-68.09811741,44.39116851,"mail"
1879-03-15,"The mail went on wheels The wind Westerly 36 above Work half day for Wm Guptill. Went to District meeting was Chosen moderator. and then Partitioned to the Agent to Call another meeting to Choose a Collector to Collect the district tax.","Winter Harbor",1879,3,-68.09811741,44.39116851,"mail"
1879-03-29,"The wind South East Thermometer 39. above above mail for David Weare to West Gouldsboro Via Porspect Route 191 received letter from Wm P. Joy Esqr at night misty or fine rain Crossed Jones Pond on may with the mail","Winter Harbor",1879,3,-68.09811741,44.39116851,"mail"
1879-03-29,"The wind South East Thermometer 39. above above mail for David Weare to West Gouldsboro Via Porspect Route 191 received letter from Wm P. Joy Esqr at night misty or fine rain Crossed Jones Pond on may with the mail","West Gouldsboro",1879,3,-68.09937127,44.46922347,"mail"
1879-03-29,"The wind South East Thermometer 39. above above mail for David Weare to West Gouldsboro Via Porspect Route 191 received letter from Wm P. Joy Esqr at night misty or fine rain Crossed Jones Pond on may with the mail","Winter Harbor",1879,3,-68.09811741,44.39116851,"mail"
1879-04-04,"The wind Northerly snowing and blusling all the forenoon. Carried the mail on route 191 to West Gouldsboro. for David Weare. in the afternoon cleared up Thermometer 36. Sold two sets costers after two.","Winter Harbor",1879,4,-68.09811741,44.39116851,"mail"
1879-04-04,"The wind Northerly snowing and blusling all the forenoon. Carried the mail on route 191 to West Gouldsboro. for David Weare. in the afternoon cleared up Thermometer 36. Sold two sets costers after two.","West Gouldsboro",1879,4,-68.09937127,44.46922347,"mail"
1879-04-04,"The wind Northerly snowing and blusling all the forenoon. Carried the mail on route 191 to West Gouldsboro. for David Weare. in the afternoon cleared up Thermometer 36. Sold two sets costers after two.","Winter Harbor",1879,4,-68.09811741,44.39116851,"mail"
1879-04-11,"The wind E.N.East and the Thermometer. 30 above. Very tough snow storm. Went with the mail to West Gouldsboro vis Prospect on runners the Sleighing good.","Winter Harbor",1879,4,-68.09811741,44.39116851,"mail"
1879-04-11,"The wind E.N.East and the Thermometer. 30 above. Very tough snow storm. Went with the mail to West Gouldsboro vis Prospect on runners the Sleighing good.","Prospect Harbor",1879,4,-68.02456023,44.41062098,"mail"
1879-04-11,"The wind E.N.East and the Thermometer. 30 above. Very tough snow storm. Went with the mail to West Gouldsboro vis Prospect on runners the Sleighing good.","West Gouldsboro",1879,4,-68.09937127,44.46922347,"mail"
1879-04-11,"The wind E.N.East and the Thermometer. 30 above. Very tough snow storm. Went with the mail to West Gouldsboro vis Prospect on runners the Sleighing good.","Winter Harbor",1879,4,-68.09811741,44.39116851,"mail"
1879-04-17,"The wind Northerly in the forenoon and Southerly in afternoon Thermometer 48 degrees Work all day for Capt T.H. Smallidge putting in stem for AGBrooks yawl boat. received Check of $16.50 from Wm B Viall for Carrying Mail Route 365","Winter Harbor",1879,4,-68.09811741,44.39116851,"mail"
1879-04-19,"The wind North East and snowing all day Thermometer 32 above Went to West Gouldsboro on wheels with the mail via Prospect. Wrote letter to Auditor of the Treasury for the Post Office Department Real letter from Mijr Linda Smallidge","Winter Harbor",1879,4,-68.09811741,44.39116851,"mail"
1879-04-19,"The wind North East and snowing all day Thermometer 32 above Went to West Gouldsboro on wheels with the mail via Prospect. Wrote letter to Auditor of the Treasury for the Post Office Department Real letter from Mijr Linda Smallidge","Prospect Harbor",1879,4,-68.02456023,44.41062098,"mail"
1879-04-19,"The wind North East and snowing all day Thermometer 32 above Went to West Gouldsboro on wheels with the mail via Prospect. Wrote letter to Auditor of the Treasury for the Post Office Department Real letter from Mijr Linda Smallidge","West Gouldsboro",1879,4,-68.09937127,44.46922347,"mail"
1879-04-19,"The wind North East and snowing all day Thermometer 32 above Went to West Gouldsboro on wheels with the mail via Prospect. Wrote letter to Auditor of the Treasury for the Post Office Department Real letter from Mijr Linda Smallidge","Winter Harbor",1879,4,-68.09811741,44.39116851,"mail"
1879-05-12,"The wind Southerly and foggy Thermometer 45 Went to West Gouldsboro with mail Via Prospect Route 191","Winter Harbor",1879,5,-68.09811741,44.39116851,"mail"
1879-05-12,"The wind Southerly and foggy Thermometer 45 Went to West Gouldsboro with mail Via Prospect Route 191","Prospect Harbor",1879,5,-68.02456023,44.41062098,"mail"
1879-05-12,"The wind Southerly and foggy Thermometer 45 Went to West Gouldsboro with mail Via Prospect Route 191","West Gouldsboro",1879,5,-68.09937127,44.46922347,"mail"
1879-05-12,"The wind Southerly and foggy Thermometer 45 Went to West Gouldsboro with mail Via Prospect Route 191","Winter Harbor",1879,5,-68.09811741,44.39116851,"mail"
1879-05-13,"Calm in morning Thermometer. 68 degrees Went to West Gouldsboro Via Prospect Harbor with mail for David Weare Southerly wind in the afternoon.","Winter Harbor",1879,5,-68.09811741,44.39116851,"mail"
1879-05-13,"Calm in morning Thermometer. 68 degrees Went to West Gouldsboro Via Prospect Harbor with mail for David Weare Southerly wind in the afternoon.","Prospect Harbor",1879,5,-68.02456023,44.41062098,"mail"
1879-05-13,"Calm in morning Thermometer. 68 degrees Went to West Gouldsboro Via Prospect Harbor with mail for David Weare Southerly wind in the afternoon.","West Gouldsboro",1879,5,-68.09937127,44.46922347,"mail"
1879-05-13,"Calm in morning Thermometer. 68 degrees Went to West Gouldsboro Via Prospect Harbor with mail for David Weare Southerly wind in the afternoon.","Winter Harbor",1879,5,-68.09811741,44.39116851,"mail"
1879-05-14,"The wind Southerly and foggy Thermometer 50 degrees Went to West Gouldsboro with mail Route 191 Via Prospect Harbor For David Weare","Winter Harbor",1879,5,-68.09811741,44.39116851,"mail"
1879-05-14,"The wind Southerly and foggy Thermometer 50 degrees Went to West Gouldsboro with mail Route 191 Via Prospect Harbor For David Weare","Prospect Harbor",1879,5,-68.02456023,44.41062098,"mail"
1879-05-14,"The wind Southerly and foggy Thermometer 50 degrees Went to West Gouldsboro with mail Route 191 Via Prospect Harbor For David Weare","West Gouldsboro",1879,5,-68.09937127,44.46922347,"mail"
1879-05-14,"The wind Southerly and foggy Thermometer 50 degrees Went to West Gouldsboro with mail Route 191 Via Prospect Harbor For David Weare","Winter Harbor",1879,5,-68.09811741,44.39116851,"mail"
1879-08-08,"The wind Southerly Thermometer 69 degrees Went to West Gouldsboro with mail","West Gouldsboro",1879,8,-68.09937127,44.46922347,"mail"
1879-08-11,"A party of 9 from Bar Harbor to Eureka House to dinner. The wind Southerly Thermometer 69 Went to West Gouldsboro with ail Route 365Had a party of 9 at the Eureka House to dinner in addition to the other boarders. received Check for carrying mail from Post Office Department Route 365","West Gouldsboro",1879,8,-68.09937127,44.46922347,"mail"
1879-08-15,"The wind North North West and very pleasant. Thermometer 72 degrees went to Bar Harbor after some groceries for the house hired the mail carried on route 365","Bar Harbor",1879,8,-68.212219,44.387699,"mail"
